date,Event,Description,Category
2011-02-20,Arab Spring / Libya Civil War,Supply disruption from Libya unrest drives prices up.,Conflict
2014-06-10,ISIS Captures Mosul,Fears of Iraq supply disruption.,Conflict
2014-11-27,OPEC No-Cut Decision,OPEC maintains output → accelerated 2014-2016 price crash.,OPEC Policy
2016-11-30,OPEC+ Production Cut Agreement,First major coordinated cut with Russia.,OPEC Policy
2018-05-08,US Exits Iran Nuclear Deal,Sanctions reimposed on Iranian oil exports.,Sanctions
2019-09-14,Drone Attacks on Saudi Aramco,Temporary loss of ~5.7M bpd → sharp spike.,Conflict
2020-03-08,Russia-Saudi Price War Begins,Production surge amid COVID demand drop.,OPEC Policy
2020-04-12,Historic OPEC+ Cuts,Record 9.7M bpd cut to stabilize market.,OPEC Policy
2020-03-20,Global COVID-19 Lockdowns Peak,Demand collapse → prices crash.,Economic Shock
2022-02-24,Russia Invades Ukraine,Supply fears + sanctions → price surge to $120+.,Conflict
2015-07-14,Iran Nuclear Deal (JCPOA),Paved way for increased Iranian supply later.,Policy
2021-10-01,Post-COVID Demand Recovery,Reopening economies + supply constraints.,Economic Shock
